name,transitions,transversions,insertions,deletions
flat,0.01592494471183002,0.02874113518846307,0.023585649844533246,0.028440181197421636
all_polymers,0.01390819975635599,0.028344160519890506,0.0,0.045355245629570856
post_all_polymer,0.0199037498376468,0.034556703258743285,0.029557633975877486,0.045743893114123184
AT_polymers,0.012067207512913772,0.022664263338133615,0.0,0.04135826545552494
post_AT_polymers,0.019127497542262718,0.03219259085783414,0.030685631832026408,0.043585571159914224
GC_polymers,0.018301295324262678,0.03895024534848157,0.0,0.05288766769403179
post_GC_polymers,0.02106943394481022,0.03821351416918378,0.027112136054457073,0.0490886207621493
"Repeat 3, 3",0.007446049544411709,0.013607860834673136,0.0,0.0197791880892918
"Post_Repeat 3, 3",0.005659855845895437,0.01215310999132997,0.014440629156360664,0.020926973259909706
"Repeat 2, 3",0.014773245818732305,0.021986573622676954,0.0,0.024971434710968323
"Post_Repeat 2, 3",0.012588403041866092,0.019254762573378065,0.02442837148836864,0.02846489940881906
