block,transitions,transversions,insertions,deletions
0.1,0.019880074471626846,0.012761767581019998,0.014327976983337648,0.01562858954819206
0.2,0.024327363722816204,0.016893952487419935,0.016566320324983265,0.017138171512964106
0.30000000000000004,0.025028338199996305,0.01844233597180827,0.016563792809872243,0.01804567221433524
0.4,0.026598562552246564,0.01999110544351491,0.016616379382389017,0.01789201272583061
0.5,0.023735737647073898,0.016967791086717688,0.017080082081625154,0.017093287203042495
0.6,0.026767893604606418,0.01768588798639511,0.01741013287890514,0.01745173260002104
0.7,0.02471797641102228,0.01754374457369565,0.016743018357137728,0.01799986260873965
0.7999999999999999,0.022799672922898435,0.016861962867499223,0.01633329287723546,0.01762964376202677
0.9,0.023399761937484772,0.01609666659735466,0.01647105478779883,0.016583709496773822
1.0,0.009873149010506323,0.006585108805416397,0.006291105354947628,0.006654950054827607
