name,transitions,transversions,insertions,deletions
flat,0.022416240755107005,0.01587961276439698,0.02170484843277052,0.023507897568219475
all_polymers,0.01747337864827153,0.013305565090334938,0.0,0.05497074206169052
post_all_polymer,0.025959015624717547,0.01967640752628713,0.029814251906482066,0.05437967437246601
AT_polymers,0.012788443253331751,0.011925627175818326,0.0,0.04791607797649836
post_AT_polymers,0.026729999524166062,0.01972625623501843,0.029720319538738053,0.05092975644917556
GC_polymers,0.035964502830686,0.017058199529358508,0.0,0.08130201266045593
post_GC_polymers,0.022914099547579763,0.018157407461746423,0.02713655146446252,0.06328379972518426
"Repeat 3, 3",0.00932366548268179,0.006600494708895001,0.00011122233344455566,0.02994102359762495
"Post_Repeat 3, 3",0.00984913484913485,0.006278952112285447,0.017539780039780038,0.03680856180856179
"Repeat 2, 3",0.015267548502055117,0.010706178508110094,0.0,0.0576117580231938
"Post_Repeat 2, 3",0.01862665769669515,0.017105212508483285,0.02314611094328686,0.04395081015057432
