GC_content,transitions,transversions,insertions,deletions
0.0,0.014494382022471919,0.025280898876404494,0.010561797752808995,0.012022471910112366
0.05,0.02302158273381294,0.030431654676258958,0.012230215827338138,0.013741007194244615
0.1,0.025717344753747255,0.027794432548179798,0.01002141327623121,0.012698072805139104
0.15,0.016866510538641747,0.015199063231850244,0.011629976580796376,0.013498829039812825
0.2,0.01599827718223618,0.012582312404288368,0.011600306278714332,0.01390313935681513
0.25,0.01681506246700318,0.011910962519794172,0.012017948266757703,0.014501847615691583
0.3,0.018049739657702166,0.01243359623876377,0.012240261880170794,0.014917063954119274
0.35,0.019703966415739283,0.013486175448749015,0.012724739432534882,0.015666075564553444
0.4,0.020721070262467115,0.013885001908148793,0.01327375651952,0.01641097400669073
0.45,0.02169931411298899,0.014703557312249297,0.013614566379906622,0.01706986747267347
0.5,0.022710533828140776,0.015513488438478324,0.014630673708245742,0.018033114473302643
0.55,0.023689870159580996,0.01636961619859225,0.015211348166790366,0.018629525825085123
0.6,0.026005100857872106,0.018447716206816987,0.01630767447252551,0.020233016461860088
0.65,0.028570048309179082,0.020331723027375334,0.017049919484702355,0.022183574879227504
0.7,0.030160160160160147,0.020460460460460433,0.016596596596596395,0.02345345345345339
0.75,0.029715025906735647,0.01867875647668386,0.014533678756476605,0.023652849740932548
0.8,0.03016304347826083,0.020108695652173884,0.014999999999999982,0.024510869565217336
0.85,0.03186046511627908,0.02069767441860466,0.016511627906976748,0.02372093023255815
0.9,0.04,0.02,0.02,0.03
0.95,0.0,0.0,0.0,0.0
