block,transitions,transversions,insertions,deletions
0.1,0.02272323361825412,0.009426029714202491,0.006872806247492714,0.009592385473551611
0.2,0.0274413788950337,0.011536732644766533,0.008849937838351637,0.012136165162323362
0.30000000000000004,0.027611995942683418,0.011586647771316327,0.00903605842339467,0.011978895293648139
0.4,0.028595763818470826,0.012253628372586365,0.008567192256471347,0.01200723139752904
0.5,0.02778652712120432,0.011453673449536702,0.008831240764164375,0.011874508117916405
0.6,0.027430543024938418,0.012164069853733623,0.00913348783108191,0.011976654112431477
0.7,0.0277400331471951,0.012314325228212804,0.008388750531835371,0.011997324058745021
0.7999999999999999,0.027487781341292882,0.012104466462612422,0.008388321045065617,0.011615846082394693
0.9,0.026367459145256726,0.011278310093741343,0.007922625318503759,0.011014213751799928
1.0,0.011432762465132243,0.004558303814556748,0.0029327697752016043,0.00405551350228325
