name,transitions,transversions,insertions,deletions
flat,0.027727706009904072,0.012349263442723728,0.010181721782545434,0.014830040044694254
all_polymers,0.009495329954904924,0.005223253292425305,0.0,0.01851842329237577
post_all_polymer,0.011439154683969537,0.0058180327863313515,0.005894256164503323,0.01391717871407099
AT_polymers,0.007287841650826026,0.00409786705741758,0.0,0.01699229163606565
post_AT_polymers,0.009672651218620754,0.004592064850763036,0.006160186729992708,0.01371609123562389
GC_polymers,0.014203645471787768,0.007446069261970303,0.0,0.02124896821044849
post_GC_polymers,0.014803895471119228,0.007481733187546076,0.004794627667868385,0.014185715184686207
"Repeat 3, 3",0.004879574145041471,0.0017034606027702334,0.0,0.00547044165390769
"Post_Repeat 3, 3",0.00667595794118756,0.0021091645030395785,0.0024770623177371065,0.005138331732347869
"Repeat 2, 3",0.008036366314942058,0.0031385818370067283,0.0,0.014784157626141553
"Post_Repeat 2, 3",0.006979973397154402,0.003978284049065923,0.0034649053474950084,0.008409842494373052
