Run,Avg_Q_score,GC_polymer,AT_polymer,All_polymer,Repeat_Size_2,Repeat_Size_3
ERR6747452,18.615658543938018,18.30440633525808,22.144405089152233,20.224405712205154,18.92093203268674,17.115996543427173
ERR3986914,15.847425308431726,11.385349219731184,20.26264179269515,15.823995506213167,12.446540880615286,16.273697390403335
ERR12778389,18.03341225239156,16.68529974032669,21.581752299750402,19.133526020038545,18.66352973746281,17.747260812279237
SRR22784579,17.7817288758924,16.002625307164337,20.500526425241482,18.25157586620291,17.7995343940901,27.273042024608483
DRR540064,18.98926490098347,16.544680594268783,20.832968545071378,18.688824569670082,19.82389469423594,18.930974776666133
