homopolymer_size,transitions,transversions,insertions,deletions
3,0.009047785399314171,0.005674425053846124,0.006549874900927067,0.018324326803351516
4,0.007877913875533656,0.005646771970787349,0.005688890795009752,0.022880873414195688
5,0.006041239610799091,0.004917928706560989,0.00393908175964511,0.026296888813390904
6,0.003772763917047698,0.003744763689960099,0.002325715001135126,0.025510606763338845
7,0.0016538237482077041,0.001965388100414512,0.0008868209487321995,0.014199706343821016
8,0.0004090754731180268,0.0007090920719803462,0.0002591978197760531,0.004827057836332545
9,3.867396041103015e-05,0.00013247888566331588,2.9622607974406068e-05,0.0003612312472434514
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
