name,transitions,transversions,insertions,deletions
flat,0.02797509293720281,0.012091426760393209,0.008368023077179557,0.011959312345366083
all_polymers,0.011334368148221089,0.005915019164743708,0.0,0.01851199342043439
post_all_polymer,0.01477793829455037,0.006626367731392444,0.005016584655397131,0.014663750829727765
AT_polymers,0.00780711788123261,0.004165197616052268,0.0,0.015192095777750391
post_AT_polymers,0.013465978045295899,0.00525361664551172,0.005251099012014092,0.014419527284062476
GC_polymers,0.018733379471879318,0.009367792605022907,0.0,0.024617658771432533
post_GC_polymers,0.01657611745384955,0.009004869546057417,0.004793987357756106,0.014600399127784878
"Repeat 3, 3",0.005923689996282044,0.00216668349526075,0.0,0.005037182487618076
"Post_Repeat 3, 3",0.004924817496601528,0.0022332766566367087,0.0012603896457977924,0.004859412993716935
"Repeat 2, 3",0.00970207088237138,0.004214467692808472,0.0,0.013077819311275144
"Post_Repeat 2, 3",0.0105095124142761,0.0041086617786845305,0.003468227632942865,0.008533762958352445
