block,transitions,transversions,insertions,deletions
0.1,0.024386774868590633,0.010171198318889822,0.006155393038577629,0.00876330439896697
0.2,0.028078954302799546,0.012783400656019994,0.007440148579476209,0.010330101312513594
0.30000000000000004,0.027668144201365846,0.011638296737472435,0.00691063627685699,0.009421324404172614
0.4,0.02692478642038996,0.01238021444587878,0.00734721752161251,0.010016617961015292
0.5,0.028659075961754293,0.01221407530497382,0.00721231236334015,0.009723347797540964
0.6,0.02814524264530718,0.01169549857454235,0.007676730027608457,0.009789948965843486
0.7,0.02869812342511106,0.012310049040281245,0.007562884935922466,0.009952430161679923
0.7999999999999999,0.02839591147436297,0.012133963580550468,0.007396346412627299,0.009919373953420135
0.9,0.028455013402535652,0.012049053593153213,0.007323736859231614,0.009486141057184486
1.0,0.01164747337779022,0.004659881575958582,0.0025488439560953716,0.003493452520867176
