name,transitions,transversions,insertions,deletions
flat,0.026739126534389108,0.012308146508028247,0.010847605438739114,0.014168977781238035
all_polymers,0.0026290794383002952,0.0014489771532559162,0.0,0.004916369990053875
post_all_polymer,0.003303543634827111,0.0014479563037491682,0.0017829723320761464,0.0036632269625655645
AT_polymers,0.0021679422653092697,0.001026862158827767,0.0,0.004524921201469513
post_AT_polymers,0.0028176079803451633,0.001188127306174392,0.0017224021961162897,0.00345035986489209
GC_polymers,0.003225408400589297,0.0020905031526352274,0.0,0.004960867562573275
post_GC_polymers,0.003841527472996263,0.0017675142499168188,0.0017563587733151434,0.0037286583861305487
"Repeat 3, 3",0.0010765658335435758,0.0004016776052545504,0.0,0.0009888849013701237
"Post_Repeat 3, 3",0.001252415295568031,0.0004407949861620101,0.0005092117761707191,0.0010210111737897752
"Repeat 2, 3",0.0017367586094768214,0.0007384649630181235,0.0,0.002857290493107733
"Post_Repeat 2, 3",0.0017750154054912977,0.000565677771953103,0.000868302703511398,0.001725327891331569
