GC_content,transitions,transversions,insertions,deletions
0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0
0.1,0.11000000000000001,0.07,0.015,0.0
0.15,0.03406250000000001,0.03281250000000001,0.010000000000000002,0.00875
0.2,0.030801393728222947,0.019303135888501674,0.009581881533101026,0.0100696864111498
0.25,0.026552227903579313,0.016230825420014593,0.009737034331628784,0.010598977355733947
0.3,0.02332842415316688,0.014280805105547478,0.009383897889052651,0.011190476190476322
0.35,0.02242580892207589,0.012434424660157588,0.009275320696918065,0.011055906567107645
0.4,0.023002372695741066,0.011890125935387989,0.009354261726591666,0.011135243657599853
0.45,0.02486536491887389,0.011772557570946324,0.009073248091976844,0.01103974625829499
0.5,0.027219328238140564,0.012119971842309183,0.009263173773123409,0.011132039420748495
0.55,0.029377526856859775,0.012946603904347678,0.009077336259669297,0.011404066073690659
0.6,0.03128567907320051,0.013937392161694937,0.009325610056691948,0.01192013803302918
0.65,0.03365970409051371,0.014495213228894849,0.008755439512619687,0.011923411662315201
0.7,0.03209302325581394,0.014302325581395357,0.012325581395348843,0.010697674418604659
0.75,0.02,0.02,0.0,0.01
0.8,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0
