homopolymer_size,transitions,transversions,insertions,deletions
3,0.009470286106872275,0.009771358345036245,0.003953729607400129,0.009939721836883643
4,0.008990925479913826,0.010145335360215415,0.003603189219680965,0.01378179516139921
5,0.007993970361239819,0.010041322671158023,0.0030623839522613033,0.019677069382406893
6,0.006273921696821674,0.00884565327185996,0.0017323722321676528,0.023585490677408234
7,0.004037119340096588,0.005737962383712287,0.0005544263775971093,0.015986911550085397
8,0.0011262719857590732,0.0021766366438174182,0.0003387533875338753,0.00599211568096073
9,0.00011291779584462512,0.0002710027100271003,0.0,0.00046296296296296303
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
