GC_content,transitions,transversions,insertions,deletions
0.0,0.0,0.0,0.0,0.0
0.05,0.008947368421052636,0.008771929824561403,0.0073684210526315805,0.012105263157894744
0.1,0.00932038834951457,0.009466019417475734,0.007427184466019423,0.01169902912621358
0.15,0.011230665770006611,0.009482178883658265,0.009354404841963536,0.013860121049092103
0.2,0.011772319547287961,0.00998735777496858,0.009506953223767612,0.01384985852748196
0.25,0.012332611906964698,0.00955340272767521,0.009343330241501347,0.013497715483176048
0.3,0.013434314166536353,0.009751423974617483,0.009439483937864344,0.013881979763155894
0.35,0.014739586528423203,0.009853689957664774,0.009647567633880461,0.014327418563267314
0.4,0.01589401625816508,0.010114662917909184,0.010098649226813512,0.014931605647566248
0.45,0.016240757855817762,0.010432359057299102,0.009996245378925276,0.015370263401102972
0.5,0.01672170956774847,0.010637850089039674,0.010216933786627299,0.015583616642379273
0.55,0.0170036010384392,0.010448873628674867,0.009809898668453906,0.015558160958044095
0.6,0.01847975077881656,0.010425752855659477,0.010633437175493324,0.016404984423676414
0.65,0.018114558472553548,0.009403341288782752,0.0077684964200476605,0.015011933174224163
0.7,0.020625000000000004,0.006874999999999999,0.0075,0.018750000000000003
0.75,0.02,0.0075,0.01,0.0225
0.8,0.005,0.02,0.015,0.015
0.85,0.0,0.0,0.0,0.0
0.9,0.03777777777777777,0.006666666666666667,0.0,0.003333333333333333
0.95,0.02157894736842106,0.00368421052631579,0.0,0.0
