block,transitions,transversions,insertions,deletions
0.1,0.017780377450543252,0.011503271030402494,0.010287826163805875,0.01524141103322097
0.2,0.02216440437535211,0.014917885046652124,0.013191275878806513,0.01832188175538108
0.30000000000000004,0.022453728172647847,0.015229614770476893,0.013302478931114803,0.01862826001949325
0.4,0.023340889582732793,0.015374746915986172,0.013549683511165159,0.0181041284012023
0.5,0.023336426116982403,0.015637655854904692,0.013652845187958914,0.017931832358154886
0.6,0.023266781982852983,0.015448770802670788,0.013420198341421902,0.01835380433672688
0.7,0.023473674876212932,0.015937943751903348,0.013245641001910644,0.01837295812471267
0.7999999999999999,0.023050888076926616,0.015447260734057645,0.01282371834996965,0.018004517248030448
0.9,0.022940651259477123,0.014829988302498027,0.012310505579866182,0.01701159228187278
1.0,0.008596781043723583,0.005456902958572838,0.004522709356180189,0.006378620450154501
