GC_content,transitions,transversions,insertions,deletions
0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0
0.1,0.09454545454545454,0.06727272727272728,0.01636363636363636,0.00818181818181818
0.15,0.04483333333333329,0.03966666666666664,0.009000000000000006,0.009416666666666674
0.2,0.034002624671916004,0.022362204724409345,0.007545931758530112,0.008162729658792578
0.25,0.02785593506932727,0.01683801149814009,0.00691241122759557,0.00837335136963149
0.3,0.02455457512389743,0.014090414601716918,0.006841532696724247,0.008337966880212827
0.35,0.022602256699573442,0.011969440526563074,0.0065909732016929765,0.008141513869299519
0.4,0.0229698466337289,0.010970515058111693,0.006620557763004225,0.008029262133755922
0.45,0.02484619901906444,0.010583194792512764,0.00619637229845019,0.007808821948168046
0.5,0.02735487143079809,0.011004970330168505,0.006317695389760474,0.007911041233447285
0.55,0.029673056494818637,0.011579382216320171,0.006187626274894952,0.008010914317050996
0.6,0.031898180194245514,0.012345874734839883,0.00614335156860458,0.008305012839117578
0.65,0.034795880149813184,0.013543071161048845,0.005846441947565717,0.00841947565543081
0.7,0.033673469387755055,0.014234693877551,0.009846938775510211,0.011173469387755099
0.75,0.042,0.028000000000000004,0.008,0.008
0.8,0.0,0.01,0.02,0.0
0.85,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0
