GC_content,transitions,transversions,insertions,deletions
0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0
0.2,0.03,0.019999999999999997,0.011428571428571429,0.008571428571428572
0.25,0.021428571428571432,0.014285714285714287,0.010714285714285714,0.010714285714285714
0.3,0.022608695652173924,0.01608695652173914,0.010000000000000004,0.012608695652173917
0.35,0.018684210526315796,0.014912280701754396,0.010175438596491235,0.01350877192982457
0.4,0.02118589743589737,0.010929487179487154,0.008012820512820502,0.012339743589743558
0.45,0.024659606656580783,0.011482602118002942,0.008472012102874356,0.013101361573373547
0.5,0.02773584905660385,0.0126497128794092,0.009491386382280425,0.013478260869565054
0.55,0.029771359807460866,0.012406738868832612,0.009350180505415064,0.013826714801443886
0.6,0.030321285140562176,0.01381526104417668,0.01044176706827307,0.014578313253012006
0.65,0.02969696969696971,0.013333333333333338,0.010606060606060608,0.016060606060606063
0.7,0.01,0.0,0.01,0.01
0.75,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0
