name,transitions,transversions,insertions,deletions
flat,0.019075123939130637,0.007469411349022063,0.00028944581913306915,0.00047311642362651233
all_polymers,0.010681470842307177,0.005911073782204464,0.0,0.002514584028284884
post_all_polymer,0.016099201976831838,0.00681720880229633,0.0011328991687553362,0.0020939909606654664
AT_polymers,0.009028817670620843,0.003899159210463748,0.0,0.0022724959797886363
post_AT_polymers,0.014721887232708545,0.0050561837470956186,0.001298954465779421,0.001936377203165846
GC_polymers,0.012855855725452853,0.008921826425469764,0.0,0.002517738948012557
post_GC_polymers,0.01702658694049136,0.00978839716219588,0.000663269723841523,0.002386856768668789
"Repeat 3, 3",0.0040368384704966955,0.0013051165310531806,0.0,0.0005917220880844421
"Post_Repeat 3, 3",0.004013467663758484,0.0011113419194017451,0.0001038637307852098,0.00032024650325439686
"Repeat 2, 3",0.008276625898848804,0.0029086299880898693,0.0,0.0016009900001672747
"Post_Repeat 2, 3",0.010305205211513223,0.0017073979890764265,0.0001446673393079708,0.0010592412711232819
