block,transitions,transversions,insertions,deletions
0.1,0.019972503532294347,0.009276095092295196,0.007030170091885949,0.008973596625393177
0.2,0.02696445465763234,0.012172282578534222,0.010393355890536256,0.012801923409276484
0.30000000000000004,0.027153728634712743,0.011642518692220051,0.010091454548696964,0.012412750067308673
0.4,0.027730419427645998,0.012777796749242603,0.010600981899645916,0.01251932709138955
0.5,0.026632140587030145,0.012553955232930288,0.010279266661574641,0.0137159745465479
0.6,0.027703830907162993,0.011859771656094177,0.011095462677221437,0.012261914113322612
0.7,0.026573753707862895,0.011946180095079152,0.010224339833865947,0.012349534505823594
0.7999999999999999,0.028444814882705977,0.012749003563088375,0.009847608418432794,0.012330816696885669
0.9,0.026611020934124492,0.011236986375250321,0.00962172059614765,0.011454681974535879
1.0,0.010473757417627893,0.004216386668888314,0.0031029962647517615,0.0038945873673254692
