homopolymer_size,transitions,transversions,insertions,deletions
3,0.0007145702302355811,0.0005167718297025992,0.0005342073523303222,0.001954222190678304
4,0.0006874500584507345,0.00048458110234114976,0.0005070922254276325,0.0025504496313053194
5,0.0005534405092010639,0.0004507357805847939,0.00032795110549159516,0.0033036264134409413
6,0.0003587295181056985,0.0003567519839954051,0.000174985023804269,0.003138258986334058
7,0.0001532920627699753,0.0003795534447574185,6.592392379194409e-05,0.0026445996645669207
8,5.447879813362047e-05,0.00014816725028728611,0.0,0.0012505617536970179
9,2.5637081474644924e-05,0.0001025483258985797,0.0,0.00025637081474644925
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
