homopolymer_size,transitions,transversions,insertions,deletions
3,0.01355510476330565,0.008285207028670988,0.0022825119825287932,0.007052055268581189
4,0.011347518692119578,0.008348129979052009,0.002585327975141683,0.008553342229039359
5,0.007845639683127827,0.0063817681534579515,0.0024134366326744243,0.007041484901641059
6,0.004448624863888972,0.004250280925608678,0.00218171536721599,0.005733919461036829
7,0.0016270547242063927,0.0017282810991643106,0.0012498268937820246,0.003503831466726192
8,0.00026504768227745326,0.0007162269768730093,0.0,0.0017001321716887834
9,0.00010386373078520983,0.00027696994876055955,0.0,0.00025388911969717956
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
