block,transitions,transversions,insertions,deletions
0.1,0.009900961541080566,0.005280961678047856,0.005840680566134534,0.0030583173684832514
0.2,0.011293573250642557,0.004853247261793824,0.0077593753189610145,0.003984831224003471
0.30000000000000004,0.01169070153686626,0.005422645961505465,0.0060280257942059625,0.00361030642408797
0.4,0.011925146687706391,0.0054877659631261564,0.005176553592059725,0.003272221737376244
0.5,0.012191703703459013,0.005498634619061149,0.004978761648393382,0.0031063796317030586
0.6,0.01204358034763626,0.005496965040340818,0.00489034367662209,0.0031247683927790675
0.7,0.011990523752908898,0.005386796367437563,0.004951531049779467,0.003134639079535768
0.7999999999999999,0.011791014162964058,0.005255110177776121,0.00501262892338874,0.003117064336038609
0.9,0.01134780000186385,0.0049957081147104935,0.004716502313792778,0.0029425335791824813
1.0,0.0044828908111758815,0.0019944905770178044,0.0016489556427850439,0.000898211971705413
