name,transitions,transversions,insertions,deletions
flat,0.011438641513268212,0.005303387160235168,0.003770644554980617,0.0015225456403178098
all_polymers,0.008473553080285185,0.005441132539556967,0.0,0.015106785250217532
post_all_polymer,0.012022331590697512,0.006136808198938908,0.011235848952093095,0.0059370659720979725
AT_polymers,0.0071592682134361575,0.003680650299959521,0.0,0.01205784245844901
post_AT_polymers,0.010220992213363856,0.0042457825553750585,0.01043010832590266,0.005619104224075229
GC_polymers,0.008886899254892963,0.006920161152880906,0.0,0.01508992120665164
post_GC_polymers,0.011813497846743055,0.007511782587700483,0.009610829304657646,0.005396216098654649
"Repeat 3, 3",0.0005740011670142889,0.00012993049890966244,0.0,0.00016156899606193143
"Post_Repeat 3, 3",0.0004085540236473508,0.00017988572682980372,0.00017988572682980372,0.00016159226308439995
"Repeat 2, 3",0.0019865156975923167,0.0007749844991373625,0.0,0.00037539535231509815
"Post_Repeat 2, 3",0.0014573792783838335,0.0006128310354710262,0.0010122383272456752,0.0006494179629618338
