block,transitions,transversions,insertions,deletions
0.1,0.012095809784912152,0.0071119766919075685,7.304071670318271e-05,5.717453427901151e-05
0.2,0.014082271496376916,0.007735664540821543,0.00016693777983814814,0.00011118818870615202
0.30000000000000004,0.013955433392144181,0.007279554944171794,0.00014594908538326942,0.00016987132901775682
0.4,0.014608498723827662,0.007341460104055838,0.00013188469561840687,0.00023750213510814364
0.5,0.014423220447742696,0.007448240826127615,0.00014079860522762353,0.00015560104663938282
0.6,0.014905640029017325,0.007498078562432915,0.00011147489587453029,0.00011263943948004044
0.7,0.014695359339739419,0.007256379767947693,0.0001139919387570613,0.00013804772402140978
0.7999999999999999,0.014587240393875465,0.0072972743528513405,7.423391383984193e-05,0.00012663803813791537
0.9,0.014432151588363475,0.007311169625530126,8.194370677584034e-05,0.00010011267915416323
1.0,0.004501284652246287,0.0023345793295501977,2.8670267001570957e-05,1.895614970722114e-05
