block,transitions,transversions,insertions,deletions
0.1,0.010961284110429117,0.005807812248753877,0.000133637352653347,0.00011415278089078476
0.2,0.012505038167633547,0.006893478720227188,4.018361250482429e-05,9.329599602212179e-05
0.30000000000000004,0.012583572802342022,0.007913612449877662,0.0001536263828244497,7.907975255912337e-05
0.4,0.013470708880343248,0.00763179695561314,9.407270839232915e-05,0.00015162616919310853
0.5,0.013286739095393156,0.007112674910528379,0.00011624345956863567,5.819960376467445e-05
0.6,0.013662897205543601,0.007533073687778054,1.9234727145778075e-05,0.00013350750004920668
0.7,0.01327174202948242,0.007315736134639151,0.00018161589946157381,9.519772685780801e-05
0.7999999999999999,0.012966328536327603,0.006134056109235855,1.9234727145778075e-05,6.582301322200736e-05
0.9,0.011129235400914504,0.006346353458677773,7.69389085831123e-05,0.00011834185047219566
1.0,0.011553436612160694,0.005674276212937571,7.69389085831123e-05,1.89832928040032e-05
