GC_content,transitions,transversions,insertions,deletions
0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0
0.15,0.01,0.025,0.0,0.0
0.2,0.0,0.0,0.0,0.0
0.25,0.027857142857142858,0.019285714285714288,0.0007142857142857143,0.0
0.3,0.019545454545454557,0.01333333333333334,0.00045454545454545455,0.00030303030303030303
0.35,0.01485436893203882,0.010000000000000007,0.0001941747572815534,0.0001941747572815534
0.4,0.013698630136986247,0.008715753424657498,0.00018835616438356162,0.000291095890410959
0.45,0.016760817307692393,0.009038461538461438,0.00011418269230769232,0.0001742788461538462
0.5,0.01827737684342648,0.008267963602133766,6.589268904926265e-05,6.589268904926263e-05
0.55,0.02030406689471699,0.009505891296085232,1.9004180919802356e-05,4.5610034207525645e-05
0.6,0.022599580712788263,0.009706498951781885,3.144654088050314e-05,1.0482180293501048e-05
0.65,0.025147058823529387,0.009264705882352946,0.0,0.0
0.7,0.045,0.005,0.0,0.0
0.75,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0
