name,transitions,transversions,insertions,deletions
flat,0.012454026248510107,0.007472230008917973,1.9356082758984753e-05,1.823186583106392e-05
all_polymers,0.00892965032628343,0.007210987326944325,0.0,0.0003264744114605338
post_all_polymer,0.014460657154364311,0.008349195520564892,0.0002894745426526247,0.00027723569185813813
AT_polymers,0.007398983439335483,0.005887968079049001,0.0,0.00031097432125812573
post_AT_polymers,0.01308605816548301,0.00664665173098267,0.00015786561435369783,0.00024488343103288256
GC_polymers,0.010542672923602194,0.008714361631002874,0.0,0.0001879161434323118
post_GC_polymers,0.015320835480666227,0.0100248147205257,0.00020576323971365501,0.00019796707995831429
"Repeat 3, 3",0.0008709738600059464,0.0003820576434017067,0.0,0.0001237215209871715
"Post_Repeat 3, 3",0.000823745181696382,0.00042883205047135185,7.268339838497489e-06,0.00013446428701220355
"Repeat 2, 3",0.00344895427656704,0.0015989992587434633,0.0,8.338400981387396e-05
"Post_Repeat 2, 3",0.0024906177846584724,0.0015227171961652239,0.0001235617772544573,2.1805019515492465e-05
