name,transitions,transversions,insertions,deletions
flat,0.012457210662107676,0.006731148296037814,2.5371101144822147e-05,2.7322724309808468e-05
all_polymers,0.008820380154519004,0.006250500907966011,0.0,0.0002818663005530015
post_all_polymer,0.015255432720589551,0.008424615131932198,0.0007641539000424018,0.0001972636990058593
AT_polymers,0.007279043585966074,0.004821805093776271,0.0,0.00033909350976209533
post_AT_polymers,0.013490621199680444,0.007012216071449517,0.00014276035617499032,0.00023044448131556147
GC_polymers,0.010287408903866752,0.007411346348457683,0.0,6.480912148057055e-05
post_GC_polymers,0.01710600907029479,0.010825590398761128,0.0008710801393728223,5.8072009291521487e-05
"Repeat 3, 3",0.0007097690024519294,0.0005887856497612596,0.0,0.0
"Post_Repeat 3, 3",0.0008710801393728223,0.0008710801393728223,0.0,0.0
"Repeat 2, 3",0.0037061233707575167,0.001774422506129823,0.0,0.0003145567169957414
"Post_Repeat 2, 3",0.0016937669376693766,0.0008710801393728223,0.0008710801393728223,0.00014518002322880372
