GC_content,transitions,transversions,insertions,deletions
0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0
0.1,0.03818181818181818,0.02090909090909091,0.010909090909090908,0.0018181818181818182
0.15,0.020000000000000007,0.01666666666666667,0.002444444444444444,0.0008888888888888889
0.2,0.01552795031055896,0.011428571428571394,0.0004658385093167702,0.0007763975155279505
0.25,0.014587482219061147,0.010974395448079552,0.0003271692745376958,0.0004836415362731155
0.3,0.011984126984127041,0.009914965986394665,0.00033730158730158755,0.00034013605442176896
0.35,0.009201936204542797,0.0077162715650986756,0.00022464937321583733,0.00023457862728062573
0.4,0.008979774833117488,0.006811796353492381,0.00013500049815681913,0.0001604064959649287
0.45,0.010316603888829405,0.006510638297871404,6.678204214598342e-05,6.698564593301382e-05
0.5,0.012151336892059855,0.006741865612458699,3.740220388935549e-05,3.4088084557387327e-05
0.55,0.013646640826866696,0.007423655156211094,3.0244303500117454e-05,3.4648813718581066e-05
0.6,0.01507901064925952,0.007871435932669193,3.0487804878048797e-05,3.091721058055653e-05
0.65,0.017494382022471996,0.008558988764045079,3.089887640449438e-05,5.3370786516853944e-05
0.7,0.008709677419354843,0.009677419354838715,0.0,6.451612903225807e-05
0.75,0.008,0.02,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0
