GC_content,transitions,transversions,insertions,deletions
0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0
0.1,0.041666666666666664,0.021666666666666667,0.01,0.0
0.15,0.024827586206896558,0.014137931034482762,0.002413793103448276,0.0003448275862068966
0.2,0.019646017699114986,0.01075221238938052,0.0008407079646017699,0.0004867256637168141
0.25,0.01846235418875917,0.010668080593849336,0.0006892895015906685,0.0006786850477200428
0.3,0.014868755292125434,0.009771380186282841,0.0003979678238780697,0.0005080440304826422
0.35,0.01141806020066899,0.006653288740245397,0.00022296544035674485,0.0003299888517279824
0.4,0.010516079124765513,0.005796220576859313,0.00017128964526467026,0.00019449662946181912
0.45,0.011893241766817449,0.005761406794652043,0.0001368295093907699,0.00012850528068258634
0.5,0.013444579288023555,0.005994808522114295,6.405070118662356e-05,7.652373247033426e-05
0.55,0.014772601730803265,0.00684542441539337,4.37304363837231e-05,6.0762290554225785e-05
0.6,0.0164222915484974,0.00824730572887122,4.821327283040274e-05,5.6721497447532643e-05
0.65,0.017584097859327078,0.010254841997961178,3.0581039755351684e-05,0.00016309887869520894
0.7,0.01551020408163266,0.009387755102040818,0.0,0.0008163265306122449
0.75,0.02,0.01,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0
