block,transitions,transversions,insertions,deletions
0.1,0.0018818025966974117,0.00150800297453766,5.050151291450454e-05,9.79052452706913e-05
0.2,0.0017515007609582704,0.0014076586828981412,9.784552801019944e-05,0.0001691967106850688
0.30000000000000004,0.0017336984431169358,0.0013444619159724933,0.00011345699217931294,0.000214499901458967
0.4,0.0017620285170784884,0.001375984951436478,0.00012180828438209147,0.00020353218898599203
0.5,0.0017964163822639567,0.0013742174933514216,0.00012500217970620918,0.00019683193861366242
0.6,0.0017702408931248833,0.0014155100349797617,0.0001298031259961571,0.00021775169078381434
0.7,0.0017408796380015497,0.0014566148028174733,9.703640362855998e-05,0.00019634708397132098
0.7999999999999999,0.0018083933617899736,0.0013680000439121498,9.258055136871491e-05,0.00017186584933239052
0.9,0.0017923495733270947,0.0014774155475541296,6.028293641532942e-05,0.00014448440734003115
1.0,0.0016541106547440733,0.0013271874590643374,1.6074696484157002e-05,5.785156540878488e-05
