GC_content,transitions,transversions,insertions,deletions
0.0,0.0,0.0,0.0,0.0
0.05,0.02,0.07,0.01,0.01
0.1,0.02,0.016666666666666666,0.0,0.0033333333333333335
0.15,0.00023255813953488373,0.0018604651162790699,0.00023255813953488373,0.0
0.2,0.0003418803418803419,0.0010256410256410254,0.0003418803418803419,0.0
0.25,0.0005263157894736842,0.002941176470588237,0.0005882352941176471,0.0
0.3,0.00021108179419525067,0.0008970976253298156,0.00013192612137203166,5.277044854881267e-05
0.35,0.0002183406113537118,0.0013973799126637558,0.00013100436681222707,0.00026200873362445414
0.4,0.0,0.0011111111111111113,0.0,0.0
0.45,0.00023391812865497077,0.0009356725146198832,0.0,0.0
0.5,0.0,0.0017514124293785314,0.0,0.0
0.55,0.0002564102564102564,0.00108974358974359,0.0,0.0
0.6,0.0002631578947368421,0.00039473684210526315,0.0,0.0
0.65,0.0002173913043478261,0.002391304347826087,0.0002173913043478261,0.0
0.7,0.0005263157894736842,0.007017543859649124,0.00035087719298245617,0.00017543859649122808
0.75,0.0,0.005,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.85,0.0,0.01,0.0,0.0
0.9,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0
