name,transitions,transversions,insertions,deletions
flat,0.018072005647501766,0.005616126755039611,4.706251470703585e-05,0.0
all_polymers,0.02758526877667785,0.0077915719227379734,0.0,0.0002358207289617145
post_all_polymer,0.022990291157093654,0.004985872104851463,0.00012919896640826872,0.0
AT_polymers,0.028477441691775796,0.010943952479690933,0.0,0.0002769389168712082
post_AT_polymers,0.040556113054478864,0.0014094432699083862,0.0002153316106804479,0.0
GC_polymers,0.025351932356954918,0.003525414726790784,0.0,0.00022275683863494608
post_GC_polymers,0.000310077519379845,0.010768565647408355,0.0,0.0
"Repeat 3, 3",0.0,0.0,0.0,0.0
"Post_Repeat 3, 3",0.0,0.0,0.0,0.0
"Repeat 2, 3",0.028208440999138676,0.0004306632213608958,0.0,0.0
"Post_Repeat 2, 3",0.0,0.0,0.0025839793281653744,0.003875968992248062
