block,transitions,transversions,insertions,deletions
0.1,0.051308779482452285,0.004946545339295529,0.0,0.0
0.2,0.009345833864527562,0.0059442027840262155,0.0,0.00010049241282283188
0.30000000000000004,0.013292797586741317,0.002072491757718032,7.827298486200472e-05,0.0
0.4,0.058881213259454224,0.01419432759894667,0.0,0.00016355211732024078
0.5,0.019461703317674942,0.002324034055223459,7.913458418732738e-05,0.0004555063066883895
0.6,0.03524663588265276,0.008165730660085802,8.148033472121503e-05,0.0
0.7,0.02659414484487211,0.022173413769944802,0.0,8.374367735235991e-05
0.7999999999999999,0.006548445719009791,0.0008747173060059254,0.0,8.20526285559558e-05
0.9,0.008079509082346741,0.0008418995776909562,0.000456110717663206,0.0
1.0,0.004149575794587335,0.0013899229015740333,0.0,7.827298486200472e-05
