name,transitions,transversions,insertions,deletions
flat,0.011227691086732152,0.004632887954366753,0.0006386085806903534,0.00033037682750495736
all_polymers,0.010682613724670996,0.0060053738378038155,0.0,0.0017551427866954582
post_all_polymer,0.01346044345630124,0.006078953780316602,0.0021844470825288067,0.001095998971980957
AT_polymers,0.009371675811603208,0.005331125470177785,0.0,0.0016556030021871683
post_AT_polymers,0.013663805460465844,0.004610011037166783,0.002228033948052638,0.0012205742871712031
GC_polymers,0.013828800684385727,0.007441439030527727,0.0,0.0020501641428354277
post_GC_polymers,0.012865690766756978,0.008474451739660657,0.0011396313304821205,0.0012071618662030895
"Repeat 3, 3",0.009793936249855442,0.002154373698955896,0.0,0.005207987425560647
"Post_Repeat 3, 3",0.014518164308959289,0.001892807332137876,0.00044829647340107593,0.004981071926678621
"Repeat 2, 3",0.01530198025852139,0.004965350223301463,0.0,0.0006123993398889476
"Post_Repeat 2, 3",0.009532348504255264,0.0026919135855178887,0.0017217905293219098,0.00024098900369073708
