GC_content,transitions,transversions,insertions,deletions
0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0
0.15,0.022666666666666672,0.011777777777777781,0.00044444444444444447,0.002666666666666666
0.2,0.015748792270531383,0.006763285024154594,0.0007729468599033816,0.001449275362318841
0.25,0.017028014616321457,0.009171741778319075,0.0009135200974421442,0.0008769792935444584
0.3,0.013306451612903317,0.008790322580645124,0.0008586337760910823,0.0005692599620493363
0.35,0.010133054552366568,0.005350693784451753,0.0008572514731039636,0.0008534499144649234
0.4,0.009601762114537856,0.00459471365638767,0.0008872246696035111,0.0005647577092510936
0.45,0.009706753554501854,0.004515328791469516,0.0006194460900473862,0.00039691943127961437
0.5,0.010866321661399234,0.003947845957389555,0.0005215404261039213,0.000344109147120096
0.55,0.012253343729380679,0.004541474239789001,0.00041294308162897385,0.00023511065794997544
0.6,0.013296834744203536,0.005791313949208627,0.0004941111520058829,0.00024199484725800409
0.65,0.017986870897155408,0.00646243617797221,0.0004449307075127647,0.0003209336250911745
0.7,0.005686274509803922,0.007647058823529416,0.000588235294117647,0.000196078431372549
0.75,0.0,0.016666666666666666,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0
