homopolymer_size,transitions,transversions,insertions,deletions
3,0.0008267789370070217,0.0008285871276697016,0.0019883040935672514,0.004584970791719441
4,0.00045869883040935673,0.0003383458646616541,0.0027777777777777775,0.004816548909536713
5,0.0004693314726209463,0.0003615098351940457,0.0026315789473684206,0.005019770069112173
6,0.0005847953216374269,7.309941520467836e-05,0.0004385964912280702,0.00014619883040935673
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
