GC_content,transitions,transversions,insertions,deletions
0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0
0.2,0.030000000000000002,0.016666666666666666,0.0011111111111111111,0.0022222222222222222
0.25,0.03370370370370371,0.020370370370370372,0.002962962962962963,0.005185185185185186
0.3,0.02972972972972973,0.01891891891891892,0.003243243243243243,0.003783783783783784
0.35,0.015294117647058831,0.011764705882352944,0.0027941176470588237,0.0019117647058823526
0.4,0.04073732718894005,0.019493087557603664,0.0029032258064516144,0.0031336405529953934
0.45,0.01989528795811518,0.01064572425828962,0.002050610820244323,0.003228621291448497
0.5,0.015714285714285726,0.01247484909456737,0.002629107981220639,0.0031120053655264634
0.55,0.018689095127610394,0.010168213457076507,0.002499999999999978,0.00309164733178651
0.6,0.0220967741935484,0.011935483870967746,0.0014516129032258063,0.002741935483870968
0.65,0.01,0.006666666666666667,0.0033333333333333335,0.0033333333333333335
0.7,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0
