homopolymer_size,transitions,transversions,insertions,deletions
3,0.019595171132536435,0.012498393473350581,0.010386013462095329,0.0279891420056134
4,0.017986311442735155,0.010596281163945096,0.010176198936528711,0.03671810755047077
5,0.012068050603101158,0.009764372571133573,0.007412747095487724,0.047688443832695396
6,0.0097492597286195,0.008111533508403495,0.006436994985794237,0.05554832750025931
7,0.0055921939146952255,0.006669572379358458,0.004304220478237164,0.04753531991406805
8,0.00155238602104619,0.003184709703385648,0.0006555423122765197,0.02531977724535398
9,0.0002781088597536751,0.00082770493974308,0.0,0.004542444709310022
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
