block,transitions,transversions,insertions,deletions
0.1,0.020538316174346028,0.00222955955724838,0.0002529869258864641,0.00048298026328541066
0.2,0.007907377391501895,0.0035892727645596713,0.0020324809006394963,0.00795178686288619
0.30000000000000004,0.016681650456746914,0.003363014432807279,0.0016224221436669547,0.0036579365151400145
0.4,0.010635931961186096,0.004338091936090965,0.0025788312185482383,0.002744082707651436
0.5,0.029656154063264283,0.0038878312853461642,0.0025614811085602667,0.003528658939369603
0.6,0.01037079355910172,0.008084937718032582,0.002440710576820493,0.0019343841088416062
0.7,0.0333263341707732,0.008038648213703767,0.003967390748594193,0.003642881614221202
0.7999999999999999,0.025121669935501,0.0025422440540227597,0.001052911283803311,0.0016044587870407878
0.9,0.009941520979442479,0.002318048835807633,0.003598297352746781,0.0011831335768401963
1.0,0.0011771871406015186,0.00013033084970551115,0.0002300043612461682,0.00021432122109075
