block,transitions,transversions,insertions,deletions
0.1,0.0018951654615904589,0.0037644262363169183,0.00032994554599492874,0.018281867826261813
0.2,0.003053355807262447,0.003459405686277413,0.0006023737102642094,0.04322502453825951
0.30000000000000004,0.0038161220670486066,0.005929916998296859,0.0006584532967079898,0.02366183346726668
0.4,0.0033259497767444144,0.00748445085813195,0.0011889705971107852,0.014908495519124943
0.5,0.004599058104349184,0.006410077960396698,0.0018759380668847154,0.017036691225173328
0.6,0.0033600807765606757,0.003763259597209134,0.0005986324191853665,0.010926519094937888
0.7,0.004688129444778626,0.004220297434162235,0.0009410270118056018,0.00807391187433028
0.7999999999999999,0.0028932120212504775,0.004801986720228687,0.0014315457654171988,0.007764287935518513
0.9,0.0027892970031311325,0.004012348032193224,0.0008973703731693948,0.006693542912836095
1.0,0.0003002162344340343,0.0007533403379115402,0.00038496194088060467,0.00107092567459027
