name,transitions,transversions,insertions,deletions
flat,0.0009655189654969961,0.001004249571311852,0.00526063898492101,0.0008138162014006653
all_polymers,0.0006517389387634437,0.0009091406375223352,0.0,0.0025531892462672535
post_all_polymer,0.000784460687116545,0.000881153199702046,0.00454876268070439,0.0007003507845418693
AT_polymers,0.0018831547034538348,0.0006270924937574111,0.0,0.0028706134622587414
post_AT_polymers,0.0005854514299431711,0.0005590128627216409,0.006545086257700545,0.0009298219182507227
GC_polymers,0.0004930337149730411,0.0009239768691969387,0.0,0.0024799541255164648
post_GC_polymers,0.0007760001198128268,0.000935834062099316,0.004292576397404297,0.00066055462492346
"Repeat 3, 3",0.0005057917992809397,0.0011637232433591754,0.0,0.0016419283213165363
"Post_Repeat 3, 3",0.0018927838075682003,0.0017325901720152232,0.0476207553568951,0.0034805289014734615
"Repeat 2, 3",0.0005206859591079569,0.0002246997805904378,0.0,0.0003234481931030798
"Post_Repeat 2, 3",0.0005475701574264203,0.00014667057788207686,0.004719940679899612,0.00018252338580880678
