block,transitions,transversions,insertions,deletions
0.1,0.003417597654823005,0.004036089982396831,0.00011459085335808495,0.01943248283587159
0.2,0.0021599857347350338,0.0031686706870170216,0.00012807213022374202,0.021870912309071212
0.30000000000000004,0.0022955395822904243,0.0021651852442954,0.0003842163906712261,0.02341601093358866
0.4,0.0011362883092241064,0.0012689440399126493,0.0002536813348662582,0.03097680444382321
0.5,0.0012685925555072327,0.001394382477959692,0.00012095701187797855,0.022450040845205056
0.6,0.0017694652496973167,0.001785621046388711,0.00025614426044748403,0.020840654301506965
0.7,0.0016316443089511115,0.0022726695590361843,0.0,0.014349635117908394
0.7999999999999999,0.0007611369451867454,0.003306218686872016,0.0,0.013559959873331095
0.9,0.0011428904102767457,0.00420536724182938,0.0,0.010782244145130715
1.0,0.0012758883916629393,0.0024284446230886476,0.00012323921964926119,0.016213996744737287
