name,transitions,transversions,insertions,deletions
flat,0.0010336029604870295,0.0011630912529295623,1.5509418958429652e-05,8.253774940748453e-05
all_polymers,0.0008837632078160014,0.0011710213044433203,0.0,0.0013719218438449047
post_all_polymer,0.0010329717525875215,0.0012000388939936363,8.820816817506207e-05,0.0004042998861604109
AT_polymers,0.0007337763615584158,0.0010192982432919743,0.0,0.0015528180794686633
post_AT_polymers,0.0007512656735156114,0.0010842360067272285,8.047316110539774e-05,0.00038014203790019175
GC_polymers,0.0007304279188140791,0.0008819693625439986,0.0,0.00012257809219173746
post_GC_polymers,0.0009418675274379235,0.0007976484633188194,8.405915235257002e-05,0.00032749498424389993
"Repeat 3, 3",2.950126913830548e-05,4.503535449067498e-05,0.0,3.6461615930599244e-05
"Post_Repeat 3, 3",8.091348398839136e-05,4.8986777956827296e-05,9.74861252872185e-07,4.715891310769195e-05
"Repeat 2, 3",0.00018903004372501943,0.00022613465686136005,0.0,0.00013394658815190939
"Post_Repeat 2, 3",0.00019306082618934106,0.0002857440189824983,1.3745543665497807e-05,0.00012852501124920252
