name,transitions,transversions,insertions,deletions
flat,0.0011436824326632178,0.00199134429990365,3.522130548888972e-05,2.6223161750852197e-05
all_polymers,0.0009275319588049353,0.0018647679468652512,0.0,0.00038832210138287863
post_all_polymer,0.0012852437267625305,0.002630346409018843,0.0003590354188558767,0.00025005989178648755
AT_polymers,0.0006214069722180352,0.0017014578837340054,0.0,0.0004143447436626293
post_AT_polymers,0.0011816599695854844,0.002852773316808006,0.0003267004131438156,0.00022914198114276069
GC_polymers,0.0011958682548656643,0.0014095044547445422,0.0,9.055857319243392e-05
post_GC_polymers,0.0008841733023158646,0.0011422150176391146,0.000288054486849961,0.0001758938669053765
"Repeat 3, 3",9.542443964189624e-05,0.00010868709964503858,0.0,8.895885151952423e-05
"Post_Repeat 3, 3",4.05837567571955e-05,0.00013473807243388907,1.62335027028782e-05,3.571370594633204e-05
"Repeat 2, 3",0.00027451739202386953,0.0005037595360595417,0.0,0.0001372611014471984
"Post_Repeat 2, 3",0.00023803726129987063,0.00045191752452998214,8.851124092759776e-05,0.00011325573719041353
