block,transitions,transversions,insertions,deletions
0.1,0.0019327816588093649,0.0034211628155746718,0.0001929833048670183,8.982086633428092e-05
0.2,0.0015398656856271816,0.0025057750411098495,0.0005286911959451607,0.00014196063671757643
0.30000000000000004,0.001230144910176948,0.0023042300473827336,0.0004637896395333705,0.0001625132395032637
0.4,0.0009771169434713632,0.0020944560426540424,0.0005340043789197313,0.00023661935828100998
0.5,0.0016253738712584092,0.0023803254262557035,0.0009156864283052405,0.0001504044744338316
0.6,0.0015100521316098409,0.0023718533729316336,0.00045775362991908237,0.00017169240910477857
0.7,0.0014121377188497182,0.0022735467720270707,0.0002642724844377365,0.00021326957888380982
0.7999999999999999,0.0012153593313694896,0.0029725856238595715,0.00025682639758632957,0.00013823152207623484
0.9,0.0018243010736408865,0.0025793289482779905,0.00016485653587823665,0.00010146557604706597
1.0,7.336304849099775e-05,0.0002837779202446472,0.0,1.1887079873450147e-05
