GC_content,transitions,transversions,insertions,deletions
0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0
0.15,0.026666666666666672,0.014,0.0,0.0
0.2,0.02582822085889569,0.015214723926380366,0.0011042944785276075,0.0007975460122699385
0.25,0.022939001848428706,0.011756007393715273,0.0005175600739371536,0.0007578558225508321
0.3,0.018479130931961272,0.009988564894225194,0.0004459691252144085,0.0005889079473985139
0.35,0.014584747680470737,0.007537904503281416,0.0002919212491513919,0.0004141208418194165
0.4,0.014041597947590558,0.006203041964449358,0.00019058090525929996,0.0002574674729704953
0.45,0.01591998148076427,0.006305798834831669,0.00010069832941085655,0.00011535938886531047
0.5,0.018415435340083414,0.0068242764684324575,5.348638417389175e-05,7.961900109903473e-05
0.55,0.020692092235533442,0.007612688900468616,4.1036998436685805e-05,5.308754559666497e-05
0.6,0.02277178423236558,0.008469917012448366,3.838174273858923e-05,4.771784232365148e-05
0.65,0.02662957074721793,0.010015898251192262,1.589825119236884e-05,0.00015898251192368845
0.7,0.02585365853658538,0.010000000000000002,0.0,0.0012195121951219512
0.75,0.03,0.0,0.0,0.01
0.8,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0
