name,transitions,transversions,insertions,deletions
flat,0.018606418440547924,0.007216112468201872,2.5737360564250994e-05,2.607601004535956e-05
all_polymers,0.013432706898301004,0.006765745440406446,0.0,0.000403849460725477
post_all_polymer,0.021118530373666997,0.009168085827332785,0.00015580068071992383,0.0003496214848314523
AT_polymers,0.011466660153598244,0.004289559670220449,0.0,0.0004165856517702088
post_AT_polymers,0.019407680902632028,0.006630897165045742,0.0001283194868797084,0.0003279055194145177
GC_polymers,0.01598123774309392,0.010186864018562062,0.0,0.0003028046667294906
post_GC_polymers,0.021679671748891783,0.012199083518880632,0.00017803913743000036,0.0003063136311867276
"Repeat 3, 3",0.001375077640652184,0.0004138368605373676,0.0,1.935154219418179e-05
"Post_Repeat 3, 3",0.001195242311993581,0.0004988837476147121,1.2472093690367801e-05,6.236046845183901e-06
"Repeat 2, 3",0.004706784065830075,0.0016577691070076928,0.0,3.311043920180976e-05
"Post_Repeat 2, 3",0.004161521928019389,0.001253445415881964,2.4944187380735603e-05,3.7416281071103406e-05
