block,transitions,transversions,insertions,deletions
0.1,0.009135062464583763,0.005960804389122734,0.004864440564178016,0.005680764635543913
0.2,0.009886684585838301,0.006645813654537189,0.005127118560199833,0.0059366994930986445
0.30000000000000004,0.00995374294193301,0.006575752290481547,0.005275293738473063,0.00601138535893099
0.4,0.009823114174229318,0.0067371109945772,0.005278103769939704,0.00604919850399831
0.5,0.009805786091052223,0.006884938799479964,0.005293084639009052,0.00594014111461509
0.6,0.0099981028432003,0.006749344133783556,0.00526208188464661,0.006085198771294271
0.7,0.00983300466037214,0.006527445738357281,0.005321264372925378,0.005980195482744308
0.7999999999999999,0.00994134067384497,0.006447332001030841,0.005107839531649392,0.005856507222978148
0.9,0.009544480759843408,0.006303196163744248,0.005010524422484251,0.005705404860871698
1.0,0.004066545487695898,0.002683169811539645,0.0020015989448973594,0.002347497935590384
