block,transitions,transversions,insertions,deletions
0.1,0.016668521881321424,0.010292219476762825,0.013291606360388218,0.012212433386058947
0.2,0.02329056495672236,0.014623800629227383,0.018761328131415553,0.0166930556130792
0.30000000000000004,0.02445014047284026,0.01664927200815536,0.018611840380205302,0.01748428684603751
0.4,0.02502789723611013,0.017561589995724988,0.018789706224969633,0.017808511771932
0.5,0.02550093933795191,0.017401872791872157,0.01901452837174155,0.017388746662024546
0.6,0.024920561528151065,0.01717571746108385,0.01869699713189929,0.017595061501564396
0.7,0.02521753139443873,0.01725800922838346,0.018661116416005444,0.017288000811447372
0.7999999999999999,0.02469059975208893,0.016695113734078573,0.017487115866061876,0.01676333372138802
0.9,0.023188129916725416,0.015238320232004852,0.017004016614811927,0.015525095263151854
1.0,0.008201196307523155,0.00483061295239682,0.00542103787716973,0.0052416534639121316
