name,transitions,transversions,insertions,deletions
flat,0.013567950492897085,0.008838394157481885,0.006862637730859068,0.017172122505888447
all_polymers,0.010971627646835472,0.007263223682882953,0.0,0.04391097201985252
post_all_polymer,0.02397311965963937,0.011699330452661739,0.007913196647761965,0.03972282798609645
AT_polymers,0.0075515587449217075,0.005549796082300343,0.0,0.03865876490914333
post_AT_polymers,0.011297588647684726,0.00871724183158426,0.00692930468426627,0.0387701804493753
GC_polymers,0.018305297299147174,0.009266592414680634,0.0,0.05400831111113767
post_GC_polymers,0.02399215038187973,0.01031460827788616,0.006927397185673157,0.041579797021471965
"Repeat 3, 3",0.0020114676269989743,0.0009295813413565105,0.0,0.012696646114168549
"Post_Repeat 3, 3",0.0009994748521963035,0.0019565990750622553,0.002712557808609036,0.00987489624095814
"Repeat 2, 3",0.0062036110686811505,0.003816923699958496,0.0,0.03825342723248637
"Post_Repeat 2, 3",0.00537840293598735,0.003829695112889287,0.010334335407677347,0.027577715115854117
