block,transitions,transversions,insertions,deletions
0.1,0.009696779212841122,0.006891316315668353,0.0038204877667219177,0.008338451196687718
0.2,0.011655827326934947,0.006850605517522121,0.005886587467045904,0.010611079277234195
0.30000000000000004,0.0121547882245189,0.006992324385394682,0.005622265532267253,0.009938782727330129
0.4,0.012305909217131412,0.007704291576947575,0.00575450189806546,0.010251908664679217
0.5,0.013031128954373092,0.008320920709354937,0.005816319126394545,0.010232578756046207
0.6,0.012363506904978325,0.007621066627623317,0.005499734185256509,0.010684728278648302
0.7,0.012727820565259453,0.007164392312413182,0.005767635238685393,0.010259784037724016
0.7999999999999999,0.013536931958630193,0.008029279928844899,0.005320914306030026,0.009458277402075076
0.9,0.012287030063775881,0.006886067797008567,0.005074493845528419,0.008803728071343643
1.0,0.004384997003116349,0.002150177308198878,0.0017658209981661083,0.002912594580434979
