name,transitions,transversions,insertions,deletions
flat,0.012594909876559994,0.005303705424957698,8.652048001562312e-06,1.3596075431026491e-05
all_polymers,0.006995615738494575,0.0036103114271234045,0.0,0.00013030975186914656
post_all_polymer,0.011977242631002472,0.004746701421785604,0.00019715081443476507,8.829476422069014e-05
AT_polymers,0.006064265614243722,0.0024551864702142038,0.0,0.00013554790981151537
post_AT_polymers,0.010050126485311674,0.0032068250783177815,0.00024265286610965624,9.196907345055494e-05
GC_polymers,0.006746441112689185,0.00431898842213505,0.0,8.740168672828605e-05
post_GC_polymers,0.010654383339568524,0.005327971068711812,0.0,0.0001247038284075321
"Repeat 3, 3",0.00035569711495637426,0.00016886976763519975,0.0,0.0
"Post_Repeat 3, 3",0.0003741114852225963,0.0003741114852225963,0.0,0.0
"Repeat 2, 3",0.0017867011869537113,0.0006185087203605723,0.0,0.0
"Post_Repeat 2, 3",0.0007014590347923681,0.0005611672278338945,9.352787130564908e-05,0.0
