homopolymer_size,transitions,transversions,insertions,deletions
3,0.020067725606759863,0.011275918747391145,0.0001755392613925808,0.00034824455782385855
4,0.012827574397420955,0.00869077063409359,0.00018344726373923452,0.00042534749768029174
5,0.004546087736127775,0.0030927713198373656,0.00015448190630672383,0.0002865948625094345
6,0.00129482599556812,0.0007615236499490929,0.00013517166801838335,0.00016576650131339767
7,0.000268427637793876,0.00019241273151596408,5.7930714865021436e-05,6.583871721167514e-05
8,2.842896192450126e-05,4.344803614876608e-05,0.0,1.931023828834048e-05
9,4.291164064075662e-06,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
