block,transitions,transversions,insertions,deletions
0.1,0.011899697129156884,0.0052455261422309895,1.933846963086729e-05,3.618782930924672e-05
0.2,0.013431984505505106,0.005316002189565783,6.391917572825416e-05,3.6069568429151144e-05
0.30000000000000004,0.013043406961618454,0.00531917925042243,0.0001106151712446862,6.619785144932147e-05
0.4,0.012077535186804593,0.00585684126963581,8.592387401251667e-05,0.00014444416745118305
0.5,0.012446907547513732,0.005143926928809975,6.952598612203896e-05,5.0089205021126853e-05
0.6,0.012763142995527912,0.005411526395951995,0.00010905072275373392,9.66236471951368e-05
0.7,0.013328570427546696,0.005684487226456,5.7836899942163095e-05,0.00011525715356378027
0.7999999999999999,0.012915341800933625,0.0054919500250261615,5.9839236409694807e-05,7.21909206345305e-05
0.9,0.013379196695728585,0.005905966334893073,7.389580686044457e-05,7.39644219062303e-05
1.0,0.0003945575136064584,0.00024036828574195234,0.0,2.38909941070755e-05
