name,transitions,transversions,insertions,deletions
flat,0.0018115946393644443,0.002324918335852087,3.666942016587781e-05,3.377827008709638e-05
all_polymers,0.0015560126811676902,0.0020930849329139165,0.0,0.0003847429806596029
post_all_polymer,0.002282458932416197,0.0032885894711373676,0.0001758164184396899,0.0003719324126479608
AT_polymers,0.0012785087441701379,0.0017904574940801137,0.0,0.0003716189905244553
post_AT_polymers,0.0016347817740772195,0.0025384548508516555,0.00016400119594512557,0.00036460442314026174
GC_polymers,0.0015330222698780255,0.001821102865746347,0.0,0.00016041591917295055
post_GC_polymers,0.002128866243271813,0.0028968456864759376,0.00012194950928169046,0.00024363650004761327
"Repeat 3, 3",7.263269027199746e-05,0.00011822571311258962,0.0,3.622665459448486e-05
"Post_Repeat 3, 3",5.8326393535478006e-05,0.00013791343946009175,2.5673240620843143e-06,3.690528339246202e-05
"Repeat 2, 3",0.0004337930233686933,0.00047501854532476355,0.0,0.00012674750441947168
"Post_Repeat 2, 3",0.0004254995794860722,0.0005535448670825273,2.9256797124169164e-05,0.0001308762208256285
