GC_content,transitions,transversions,insertions,deletions
0.0,0.005,0.005,0.0,0.0
0.05,0.0,0.0,0.01,0.0
0.1,0.006875000000000001,0.011875,0.00125,0.000625
0.15,0.0068181818181818205,0.008636363636363636,0.0,0.0
0.2,0.0035275080906148892,0.006051779935275085,0.00016181229773462783,0.00012944983818770226
0.25,0.003822222222222204,0.00717777777777774,0.00012222222222222221,0.00022222222222222226
0.3,0.003882113821138179,0.006768292682926788,5.4200542005420054e-05,5.4200542005420054e-05
0.35,0.003948453608247385,0.007448453608247368,7.216494845360824e-05,0.0001082474226804124
0.4,0.00416879795396416,0.007173913043478209,0.00013427109974424557,9.59079283887468e-05
0.45,0.004710485133020308,0.008075117370891971,3.129890453834116e-05,0.00012519561815336463
0.5,0.004473684210526292,0.007297570850202392,2.0242914979757085e-05,7.08502024291498e-05
0.55,0.004616613418530336,0.007843450479233195,3.194888178913738e-05,6.389776357827476e-05
0.6,0.004505119453924917,0.008122866894197944,3.4129692832764505e-05,6.825938566552901e-05
0.65,0.006119402985074629,0.010522388059701498,7.462686567164179e-05,0.0
0.7,0.0025,0.010416666666666666,0.0,0.0004166666666666667
0.75,0.003,0.004,0.0,0.0
0.8,0.0075,0.0075,0.0,0.0
0.85,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
0.95,0.04,0.0,0.01,0.0
