name,transitions,transversions,insertions,deletions
flat,0.0017361339298059852,0.0021597511344213756,3.7327733822764764e-05,3.9036397694933575e-05
all_polymers,0.001407901957230181,0.001836428265217573,0.0,0.00042503470486912473
post_all_polymer,0.0021738452855857198,0.003089197758036142,0.0001570629153960189,0.0004080399944683099
AT_polymers,0.0011504622865835597,0.0013727127999701627,0.0,0.0004243363918406861
post_AT_polymers,0.0017169551608393944,0.0024428545670033323,0.00013452714490561527,0.00045156884113503896
GC_polymers,0.0014096256824118632,0.0021193311286128295,0.0,0.00019208799235356907
post_GC_polymers,0.0018275138007327633,0.0025793672053166547,0.00014034398463418893,0.000286077965163874
"Repeat 3, 3",6.180379265109488e-05,0.00010669151534745773,0.0,7.913102536354331e-05
"Post_Repeat 3, 3",0.00014405447878470404,0.00017679413305395495,0.0,0.0
"Repeat 2, 3",0.00043851691254999424,0.0004602988021010148,0.0,0.00013582166753964327
"Post_Repeat 2, 3",0.000533147081077935,0.0005893449574696301,6.591583726209185e-05,0.0001871432653255597
