block,transitions,transversions,insertions,deletions
0.1,0.0020225739093773856,0.002538195167335556,7.054839023579691e-05,6.51628184608025e-05
0.2,0.0017908212543949998,0.002297686933714247,0.00014522887152595954,0.00014902613831340274
0.30000000000000004,0.001679863752880008,0.002114933798745234,0.00013237336014406675,0.0001526493062688004
0.4,0.0016590198051921858,0.0021701474644644034,0.00015124219465925966,0.0001634867540057046
0.5,0.0016448631118474875,0.0019940896525997,0.00015673012020674267,0.00013755752318840022
0.6,0.0017174713953110204,0.0020112473990086008,0.00012346057211248416,0.00015068875620489995
0.7,0.0016918319809594243,0.0020310212863597563,0.00012188760190599078,0.000138694142607738
0.7999999999999999,0.0017552538858667671,0.0021870934882391004,9.900052274145198e-05,0.00013179548351010764
0.9,0.0017708428938404586,0.002201643538064384,8.370941747182418e-05,7.804102738450491e-05
1.0,0.00010624429157242417,0.00024550732240216134,1.4392753191197218e-06,3.567922672663397e-05
